"Raman Shift [cm -1]","RD1","RD2","RD3","RD4","RD5","RD6","RD7","RD8","RD9"
"800","651.82","309.373","755.788","1547.19","2548.53","1167.77","1085.98","355.779","681.236"
"801","650.09","308.88","757.11","1545.48","2544.99","1166.12","1084.65","355.2","680.3"
"802","647.4","307.92","758.12","1542.88","2539.67","1164.01","1082.94","353.79","679.09"
"803","644.36","307.22","758.49","1539.8","2533.41","1162.51","1081.17","351.77","677.89"
"804","640.9","306.67","757.98","1536.5","2526.54","1161.32","1079.52","349.36","676.79"
"805","637.39","306.49","756.84","1533.05","2519.23","1160.37","1078.14","347.23","675.46"
"806","634.93","306.04","754.81","1529.55","2511.52","1159.91","1077.03","345.21","674.09"
"807","631.662","305.521","749.462","1522.36","2494.99","1160.6","1075.2","341.674","670.112"
"808","631.411","305.421","745.511","1518.12","2485.83","1164.51","1074.75","340.19","668.682"
"809","631.087","305.682","741.594","1513.72","2477.5","1161.18","1074.41","339.051","668.284"
"810","630.919","305.28","737.926","1509.44","2471.57","1157.52","1074.08","338.691","667.529"
"811","631.119","305.174","734.756","1505.53","2466.57","1153.66","1072.87","337.941","667.636"
"812","631.526","304.567","732.414","1502.63","2463.32","1149.2","1071.14","340.788","667.442"
"813","632.211","304.695","730.143","1501.2","2462.06","1144.36","1069.56","341.657","668.037"
"814","634.237","304.629","728.812","1500.63","2462.44","1138.87","1069.76","341.344","668.75"
"815","634.023","303.756","728.427","1501.1","2464.21","1132.8","1070.46","340.814","669.226"
"816","633.32","303.51","728.43","1501.79","2466.19","1129.13","1070.83","340.62","670.04"
"817","631.09","302.882","728.605","1504.49","2471.21","1121.32","1072.15","339.346","670.199"
"818","629.723","302.854","728.813","1505.65","2470.86","1118.27","1072.29","338.12","669.981"
"819","628.643","302.841","728.538","1505.52","2470.41","1119.16","1071.74","335.403","668.925"
"820","628.182","303.457","728.538","1504.26","2471.25","1127.52","1070.62","334.217","666.609"
"821","627.486","304.475","728.005","1502.76","2473.99","1131.78","1069.34","332.928","665.193"
"822","626.829","304.801","726.926","1501.19","2474.96","1135.22","1068.01","331.549","663.875"
"823","626.379","305.979","725.703","1499.87","2474.25","1137.98","1066.94","331.712","662.94"
