"Raman Shift [cm -1]","noFluo2","noFluo3","noFluo5","noFluo6","noFluo8","noFluo9","noFluo10","noFluo11","noFluo12","noFluo13","noFluo14","noFluo15","noFluo17","noFluo18","noFluo19"
"800","-8.913603894230834","-9.596397795379245","26.930716249391185","-5.637170899322743","6.111369494193094","-11.151522519616138","-1.2200097220038042","-13.850484169784202","-10.744290597695548","-1.0362344012859046","-9.891827761506594","-3.8727262148592154","-3.882066599619976","-1.3804593607871918","2.755168505691137"
"801","-9.01743758159633","-8.968115400283763","12.036595323589259","-7.044003095319957","4.623595785492317","-14.62362199158656","-2.9747156079585815","-18.18239698669215","-9.556536447013105","-3.2935077419015335","-11.322121439066459","-6.183264467262056","-3.105920097341051","-2.1097012192968374","-0.832723608565679"
"802","-9.105909680283967","-8.487967545923555","-0.24191251017692608","-8.138200363424854","3.496357487106391","-17.328440671192133","-4.390194647859097","-21.68317789668474","-8.544456632254315","-5.127979389346841","-12.255312275334365","-8.101720543387945","-2.3893123092193362","-2.686445024254737","-3.811747338402402"
"803","-9.17606875056101","-8.142252676018906","-10.098962652388037","-8.941161100088422","2.6931926909079302","-19.316720216838824","-5.492956029060453","-24.412064370767055","-7.692561514917219","-6.570130028544538","-12.73568004128989","-9.648833193014518","-1.731654639309931","-3.1200838865458933","-6.2248121924514335"
"804","-9.224963352694711","-7.917269234290118","-17.728710503524827","-9.474283701761678","2.1776394887695614","-20.639202286932708","-6.309508938917743","-26.428293879944206","-6.985361456499837","-7.650440344417351","-12.807504507912618","-10.845341165919418","-1.1323584916679366","-3.420010917055311","-8.114827679345188"
"805","-9.24964204695233","-7.799315664457481","-23.325311464067994","-9.758966564895587","1.9132359725639114","-21.346628539879756","-6.866362564786069","-27.79110389522127","-6.407366818500201","-8.399391021887995","-12.51506544618212","-11.711983211880277","-0.5908352703484527","-3.595619226667992","-9.524703307716077"
"806","-9.247153393601115","-7.774690410241293","-27.08292093449825","-9.816608085941182","1.8635202341636061","-21.489740634085997","-7.19002609402053","-28.559731887603327","-5.943087962416348","-8.847462745879183","-11.902642627077979","-12.269498080674751","-0.10649637940658062","-3.6563019262689407","-10.497348586196491"
"807","-9.214545952908333","-7.829691915361852","-29.19569431529631","-9.668606661349434","1.992030365441267","-21.119280227957443","-7.307008713976217","-28.79341532809548","-5.577035249746306","-9.025136201313641","-11.014515821579778","-12.538624522080466","0.32124677710258015","-3.6114521267431594","-11.075673023418855"
"808","-9.148868285141226","-7.950618623539452","-29.857787006942885","-9.336360687571354","2.262304458269521","-20.285988979900097","-7.243819612008237","-28.55139168770283","-5.293719041988103","-8.962892073114084","-9.894964800667088","-12.540101285875064","0.6929827951239285","-3.4704629389756514","-11.302586128015566"
"809","-9.047168950567068","-8.12376897849439","-29.263354409918687","-8.841268561057934","2.637880604520992","-19.040608548319977","-7.02696797547168","-27.892898437430446","-5.077649700639776","-8.691211046203232","-8.588269335319499","-12.294667121836188","1.009300270602364","-3.2427274738514194","-11.220997408619043"
"810","-8.9064965094531","-8.335441423946955","-27.606551924704423","-8.204728678260171","3.082296896068306","-17.433880591623094","-6.6829629917216495","-26.877173048283428","-4.913337587199351","-8.240573805503804","-7.138709196516577","-11.823060779741475","1.2707877994827865","-2.93763884225547","-10.873816373861679"
"811","-8.723899522066583","-8.571934403617453","-25.081534951780807","-7.4481394356290656","3.5590914247840852","-15.51654676821546","-6.238313848113241","-25.563452991266864","-4.785293063164865","-7.641461035938517","-5.590564155237907","-11.146021009368566","1.478033977710095","-2.5645901550728003","-10.303952532375888"
"812","-8.496426548674776","-8.819546361226173","-21.882458891628556","-6.592899229615615","4.031802282540955","-13.339348736503087","-5.719529732001551","-24.01097573738586","-4.678026490034345","-6.9243534224300864","-3.9881139824630725","-10.284286560495099","1.6316274012291894","-2.1329745231884196","-9.554315392794079"
"813","-8.229735705247894","-9.12138978169741","-20.16418693945319","-5.82875735695317","4.076703758649013","-11.151286752073565","-5.492868607203698","-22.749317362892327","-4.554262386535427","-6.509237650512476","-2.57716372474261","-9.34661206753149","1.715490934196011","-1.7481265065329203","-9.041439425973"
"814","-7.894332965334172","-9.449564846335097","-17.601394738193008","-4.961083930028144","4.053261405970446","-8.59420864391525","-5.146198213713969","-21.06733323842398","-4.452447928150257","-5.878519023316299","-1.1298810194962272","-8.161657297487336","1.7690374325089537","-1.2391572298438744","-8.221441633230691"
"815","-7.499692713077811","-9.721499884929537","-14.416149874342924","-4.052237927290392","3.93366121428567","-5.832240689860908","-4.770316461754056","-19.24784020141106","-4.333991846041918","-5.13679020279924","0.151071320355278","-6.83232443779961","1.7297604324928415","-0.6710368780993937","-7.384244362783603"
