"Raman Shift [cm -1]","normalized1","normalized2","normalized3","normalized4","normalized5","normalized6","normalized7","normalized8","normalized9"
"800","-0.2148878318996782","-1.0079340905168546","-0.5803558211408756","-0.6830437645616555","-1.7728116963200156","-2.029691036926978","-0.7948316250383493","0.3951203890919974","-1.1513802894204888"
"801","-0.23777528765241998","-0.9872864999069885","-0.42485118459334076","-0.6413780166006825","-1.6959686712941044","-1.9519803259360116","-0.7663371766116432","0.40957240081375823","-1.1118881666451341"
"802","-0.31594721078907156","-1.0245984876824836","-0.285672689990518","-0.6218668198846492","-1.6380160402859956","-1.886256423692537","-0.7535190203250758","0.3396407034004298","-1.087925551424114"
"803","-0.4144883843676208","-1.0301659942813024","-0.17946767327753957","-0.6145120404131929","-1.5906120570638025","-1.8075523840531833","-0.7434328386898787","0.20770539880678696","-1.0638924552984397"
"804","-0.5374028601081539","-1.0175594954718945","-0.11841617402858955","-0.6129721499773814","-1.5504729565236506","-1.7228540593200659","-0.728796621359509","0.03604532277958797","-1.0348428410525896"
"805","-0.6635116524353174","-0.9596319212917619","-0.08982343490625704","-0.6155373164583521","-1.5159018295558746","-1.633783029179774","-0.7035417165584541","-0.10749229628909059","-1.018895906660035"
"806","-0.7298548199514693","-0.9353486272705368","-0.10688482824589123","-0.6197664069022084","-1.486491097906508","-1.5344975153550287","-0.6676662294839762","-0.2401212384965671","-1.0056139306043401"
"807","-0.8427712013725627","-0.9199069061021429","-0.29285410435078957","-0.7143892524111611","-1.5457352894795637","-1.4095932962399045","-0.6612088112350822","-0.5264943630479796","-1.1360208068806201"
"808","-0.7833376784028755","-0.8530921255005702","-0.4083711597098882","-0.7375374825050066","-1.5330593115888973","-1.2107805374434417","-0.5992331124704036","-0.6053039822105406","-1.1269601034275007"
"809","-0.7284056490276422","-0.742058708045261","-0.5226251317811338","-0.7650210148840328","-1.513312903148368","-1.1820087720576504","-0.5331023983988994","-0.6494052725875284","-1.061682868831445"
"810","-0.6648662070468306","-0.713152473953435","-0.624698120767444","-0.7900108773600757","-1.4709149330468894","-1.1621041377312789","-0.4668593084902531","-0.6148491132013615","-1.0164656860543224"
"811","-0.5805834389981174","-0.6480437627484996","-0.7019462362722634","-0.8064094322390069","-1.4204335255648939","-1.1480239157296375","-0.4364980306676653","-0.6200111381038648","-0.9243611344268516"
"812","-0.48476979994795794","-0.6450696706095704","-0.7376136457175315","-0.7986119276691447","-1.3537257849957072","-1.1490867225418087","-0.42745652812877527","-0.2611544322503598","-0.8492345467402749"
"813","-0.37335942141876477","-0.5517224864575181","-0.7701260085898455","-0.7554015350101966","-1.268401020661442","-1.160150865015973","-0.41263482695718234","-0.10281986172636719","-0.7312228530457359"
"814","-0.1855101180587979","-0.48262634678535016","-0.755365230492473","-0.6916451089473904","-1.1679199217890712","-1.1875030582074484","-0.326105774656051","-0.06440107499288282","-0.6071721643930316"
"815","-0.12617534852571038","-0.5134152535786004","-0.6930233654589287","-0.6029514864581409","-1.0547514823618196","-1.2295001947031525","-0.2196371392124557","-0.048178259376577035","-0.4965747779041593"
"816","-0.09513581906951661","-0.46715099007731303","-0.6114239028572098","-0.5093067796725078","-0.9405880260375111","-1.2166287993345242","-0.12679645328413355","0.0018479968715306866","-0.36785002465024896"
"817","-0.15179843570276105","-0.4683286424988232","-0.5215287438344909","-0.367072472278991","-0.7973527557839423","-1.3014120237673859","0.004187663982034303","-0.0577099447033328","-0.27552739973423945"
"818","-0.15937127206018636","-0.3957807239797535","-0.43039090683511605","-0.26278462537805913","-0.7084416295115984","-1.2762633400306191","0.08716917959200136","-0.11262639496225707","-0.20433667177618883"
"819","-0.1508190551941076","-0.3216864499148853","-0.3642018042486594","-0.19034573381918474","-0.6215792587254574","-1.16029748060085","0.14196791739059994","-0.31874435991744854","-0.17959142632947256"
"820","-0.10713786806933674","-0.17028459469766916","-0.28447834852292925","-0.14585226212525756","-0.522970209263505","-0.8711734458739732","0.17343904742104224","-0.3700458419288408","-0.22446349528857545"
"821","-0.07720356795032751","0.03041798617090795","-0.23223534372524107","-0.10760529240347572","-0.4065547510174555","-0.6787301474164411","0.19816677725888873","-0.4319938476974928","-0.2203285533696772"
"822","-0.04533184358387618","0.14543830631195717","-0.2081294937560893","-0.07145754928178755","-0.30872010798995986","-0.5064574865736267","0.22060180979580757","-0.5032710584988556","-0.211226996137772"
"823","-0.0019052201021544006","0.36528703773258275","-0.19175007443065867","-0.02960518488344451","-0.228563757772718","-0.3510801704792757","0.2532838366786057","-0.4186151970220831","-0.18150425467038692"
"824","0.0510179892336947","0.5043926986805553","-0.17522531485831203","0.031118629306476388","-0.1655799316056345","-0.18320101062019598","0.2780143509621833","-0.3100724554269486","-0.20771173143382202"
"825","0.13015227837740984","0.6609728185371878","-0.16535452432644834","0.100234764747086","-0.11132891423026049","-0.04735731912686296","0.2988395798917895","-0.23475433363546977","-0.24668138025734151"
"826","0.21197648654608178","0.7191692874505706","-0.12243635568657765","0.16970180257745174","-0.04745354372937501","0.051562925993229376","0.3448816340031673","-0.14374986711748164","-0.21916458026350266"
"827","0.2835577693746495","0.6670154453403893","-0.11830002187809695","0.22879680935392996","-0.030870536857300193","0.11310309526193692","0.33242110200405584","-0.007894399145840784","-0.24180232863899645"
"828","0.29229996982910583","0.6965025581172815","-0.07009402070958079","0.2897114586149788","-0.005536337963654048","0.16339491873408227","0.3500342080426379","0.044411337848831854","-0.1374286948356795"
"829","0.3163298367648973","0.7463093358355538","-0.0007102083660521907","0.3573242302534224","0.005351730176556432","0.08769813036538021","0.37426455421756305","0.07250839894455066","0.003950126538861332"
"830","0.3450610955421082","0.6988502218501325","0.06010627767544596","0.4238374136615235","0.010233117014816703","0.071908063453615","0.3816557341503545","0.0912833346275066","0.21506783492522796"
